failCount_month,lifeTime_month,activeLife_month
5,9274824,10454400
2,15593986,15811200
2,303565617,305761598
0,8660281,8553600
2,19051952,21081600
2,19129431,13305600
2,18874846,21081600
2,18084572,18403200
4,18798381,21035539
5,17732807,18403200
2,17751025,7948800
2,17228506,18403200
2,18167103,7862400
2,18005782,18316800
2,17559300,18403200
2,17143663,18403200
2,17405181,18403200
2,16807318,18316800
1,11940210,2678400
2,16611070,18316800
0,16619844,18403200
2,15943179,18403200
2,15598610,15811200
2,15239951,15724800
2,15229642,15811200
2,14975192,13132800
2,14891897,5356800
4,14105115,15724800
2,12897571,5356800
2,11362640,5270400
2,12656297,13046400
2,12480372,13046400
2,11945221,13046400
2,10673763,13046400
2,10414901,10454400
1,10397439,8035200
2,10060589,10454400
2,10563575,10627200
2,9623108,10454400
3,9701759,8462531
2,9350460,10540800
2,9448590,10540800
7,8744717,7862400
2,8589533,10454400
4,7459277,7862400
2,6507961,7862400
2,6248955,7776000
3,6179066,8289204
2,5660706,7776000
3,5735741,7776000
1,4793247,5184000
4,4711958,5097600
2,4339268,5184000
0,2095163,2678400
0,728371,2678400
1,1086322,2678400
0,559746,2678400
2,303952,2678400
2,202710,2678400
2,298880316,242179200
2,319354122,318713675
2,289306236,175910400
2,281099683,181440000
2,190986121,186969600
2,272372647,273456000
5,324033503,272851200
3,270291690,270777600
3,269071303,252460800
2,305532631,315878400
2,268923898,254199932
0,267877116,265507200
2,268661550,170985600
2,268643330,202252602
3,268640907,220924800
4,268395821,239328000
2,267451535,264208100
2,268469176,270339137
2,268038876,267585631
2,268130547,237269209
2,268122986,218073600
2,266839966,252633600
2,267529291,265766400
0,267529488,131932800
1,262512300,239241600
2,292928166,281831228
3,266927143,266868503
3,266846252,223669993
1,266921868,236563200
2,266916352,257794771
2,266058758,262656000
2,265974589,257094671
5,265454489,226022400
2,266047212,239946977
2,265968720,263639490
2,265963957,235789242
2,265716152,261188102
2,265701985,260492310
0,322202413,257731200
2,265448166,264812205
2,262079049,252115200
0,264232181,122256000
1,264847648,220752000
2,264412142,262152537
3,264421917,260064000
1,264238538,262828800
2,263802169,263375605
2,263634262,238020949
2,263642854,249510641
2,263304760,254793600
2,237347734,168220800
0,263639136,249609600
2,261197394,244425600
2,263038911,260064000
2,263201399,263071557
2,262260781,258482235
4,262418647,199411200
4,261836526,258336000
3,257602183,257644800
3,261126934,224612265
1,260533788,247017600
2,261125735,247536000
2,320316461,265766400
2,260524554,162604800
7,259581721,226195200
2,260780991,253238503
2,260529125,226454400
3,259490305,218419200
0,259412910,249792000
2,259067356,225165710
2,259072116,245559682
1,259058386,252547200
4,258895457,260064000
2,324184770,324659623
2,325755412,289094400
2,155174399,155174367
1,281013036,237930125
2,281016577,260392398
1,277642319,273542400
0,277637064,205459200
2,277130275,255487072
2,276607383,237686400
2,276331584,228700800
2,275393955,242879421
2,273919338,91929600
2,231594438,231690740
3,325512554,289872000
0,52749866,42336000
0,20688023,21081600
4,324021265,317606400
2,327382454,322418504
2,326018212,294796800
0,293976264,278899200
2,284461952,209952000
3,46769943,47520000
3,327301868,305510400
0,325491039,276393600
2,286535161,263001600
2,288682844,286637577
2,293194480,227324475
2,158313426,148609435
2,144070933,144460800
0,141025859,97372800
2,139654890,135728628
4,139060239,139276800
8,132993183,100051200
2,130247467,96768000
1,128342284,129081600
3,121762707,122999959
4,114179582,110505600
5,110202996,76291200
4,103800730,100137600
5,107591603,105235200
2,105952382,105321600
1,101807428,47520000
3,283766468,201812419
2,297690461,273369600
3,183368637,178761600
5,123238882,121305600
2,76425472,74136072
4,21040140,23414400
2,285765636,272732562
1,297425427,294624000
2,298036185,140125606
8,294571568,231292800
2,294745269,278121600
1,167905868,139351049
0,144642164,141782400
7,326085676,326246400
1,296297837,268444800
0,327650672,305337600
2,285497753,79218399
4,292757262,291945600
2,297087211,248026845
2,289555683,132446622
0,288342256,247104000
2,292335066,224020033
2,297429773,247442722
5,297596525,237335083
2,293361211,228787200
2,291460778,201221611
1,327555203,320976000
4,286866655,223689600
2,287479834,288990671
2,239425989,205459200
2,324971229,273628800
1,324474986,271382400
2,286173744,245116800
2,286867126,287195698
3,324879404,318470400
2,289550519,169261072
2,297420699,292032000
2,290166952,210729600
2,296396029,289180800
0,287304618,242006400
4,289568540,281318400
0,19307181,18403200
0,18177712,15724800
0,18360607,15724800
0,18355930,13305600
0,17572212,15724800
0,16893490,15724800
0,16442141,7776000
0,11171223,10368000
0,6164433,5097600
0,3915758,2419200
1,105967902,52662140
2,18179821,18316800
3,11693935,13046400
1,146041090,97459200
2,287138359,286415696
3,296562389,286675200
2,285136948,286934400
3,324885373,118627200
3,326605075,307002207
1,325903801,228960000
2,44801979,44928000
3,299402532,281462367
0,299404955,273628800
2,299396864,299608532
3,299246602,292636800
3,299333070,300067200
2,298883080,261273600
3,326182040,284860800
1,142079339,76550400
3,284117134,281232000
2,258971376,244944000
2,295176898,245017525
2,327309814,315792000
2,288517361,289180800
1,291463641,191462400
1,289740822,247449600
5,289570556,289267200
2,288339772,262139900
2,289291592,192499200
2,296213964,270950400
0,295708791,268531200
1,176045358,134696924
3,137394856,78796800
1,71391720,63065535
2,15933782,16416000
2,183446287,173750400
4,296887159,291772800
1,296224209,268228313
2,127898357,121219200
