Месяц,Всего аварий,Аварии простой,Аварии макс,Время жизни,Время активности,Звонков,Отбитые звонки,Неотвеченные,Цена тарифа,Скорость тарифа,Доп услуги,Смотрешка,Пол,Платежей,Тип платежа,Сумма платежей,Сервисная заявка,Отток
4,2,6241,6180,129120013,131414400,0,0,0,850,8,0,0,1,2,6,1500,1,0
4,2,6241,6180,172153603,111110400,1,0,0,850,8,0,0,1,3,6,2210,0,0
4,1,6180,6180,173182502,171676800,0,0,0,800,100,0,0,1,2,6,1600,0,0
4,4,13228,9930,171709907,171763200,0,0,0,850,8,0,0,1,2,6,1400,0,0
4,13,146280,85524,171552101,161049600,0,0,0,850,8,0,0,1,2,3,1500,0,0
4,1,6180,6180,172325615,153100800,9,3,2,500,50,0,0,1,2,6,900,2,0
4,13,146280,85524,171629255,124588800,2,1,0,850,8,0,0,1,2,6,1500,0,0
4,1,3360,3360,170840556,171763200,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,12,146580,85484,170685845,171763200,0,0,0,650,40,0,0,1,2,6,1100,0,0
4,4,10320,8442,171291549,171763200,0,0,0,650,40,0,0,1,2,6,1100,0,0
4,12,146400,85564,171026511,155865429,0,0,0,850,8,0,0,1,2,6,1800,0,0
4,1,11640,11640,171277305,171763200,0,0,0,650,100,0,0,1,2,6,1300,0,0
4,1,11640,11640,170500936,166322040,2,2,0,650,100,0,0,1,2,6,1299,2,0
4,1,3420,3420,170851481,158716800,0,0,0,500,20,1,0,1,3,6,1650,0,0
4,1,3360,3360,170512724,171763200,0,0,0,850,8,0,0,1,2,6,1550,0,0
4,12,146460,85546,170770711,168912000,0,0,0,850,8,0,0,1,2,6,1600,0,0
4,12,146340,85622,137062144,136684800,1,0,0,850,8,0,0,1,2,6,1500,0,0
4,2,6241,6180,169557102,145411200,1,0,0,850,8,0,0,1,2,6,1500,0,0
4,9,29881,17100,169298603,169084800,0,0,0,850,8,0,0,1,2,6,1600,0,0
4,13,146460,85648,168695783,169171200,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,8,63540,43132,169125024,113961600,7,3,0,850,8,0,0,1,2,6,1800,1,0
4,13,146280,85524,168946642,145497600,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,4,13228,9930,166522564,163900800,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,1,6180,6180,168345207,86313600,1,0,0,500,50,0,0,1,2,6,900,0,0
4,1,6120,6120,167923324,169084800,0,0,0,650,40,0,0,1,2,6,1100,0,0
4,4,13228,9930,167737222,169084800,0,0,0,850,8,0,0,1,2,6,1450,0,0
4,4,13228,9930,166963952,96681600,0,0,0,850,8,0,0,1,1,3,750,0,0
4,4,82980,42429,53038192,10368000,14,6,0,850,8,0,0,1,5,6,3899,2,0
4,1,6180,6180,166447811,166492800,1,0,0,850,8,0,0,1,3,6,1600,0,0
4,1,6180,6180,165925725,161222400,3,0,0,650,100,0,0,1,2,6,1300,0,0
4,13,146460,85648,165323624,153446400,2,0,1,850,8,1,0,1,3,3,2650,0,0
4,1,6180,6180,165849847,152945403,0,0,0,800,100,0,0,1,3,6,1800,0,0
4,4,10260,8333,166020276,163900800,0,0,0,650,40,1,0,1,2,6,1100,0,0
4,14,146040,85226,164811086,166492800,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,3,11310,9930,164199692,161308800,0,0,0,850,8,0,0,1,2,6,1600,0,0
4,1,6180,6180,200736587,169171200,0,0,0,850,8,0,0,1,2,6,1250,0,0
4,2,6241,6180,164791162,160272000,0,0,0,850,8,0,0,1,1,3,750,0,0
4,12,146460,85546,162557692,163814400,0,0,0,850,8,0,0,1,3,6,1450,0,0
4,1,3360,3360,164805236,166492800,0,0,0,850,8,0,0,1,2,6,1500,0,0
4,1,3420,3420,164895175,157852800,0,0,0,500,50,0,0,1,2,6,1150,0,0
4,14,146040,85226,163856189,163900800,0,0,0,850,8,0,0,1,2,6,1600,0,0
4,1,3360,3360,164798083,158457600,0,0,0,850,8,0,0,1,2,6,1600,0,0
4,12,146580,85578,163765454,137721600,0,0,0,850,8,0,0,1,0,0,0,0,0
4,12,146400,85564,164464444,163900800,0,0,0,850,8,0,0,1,2,6,1700,0,0
